Cluster,Node,Coordinates
0,OCTL,[-0.73006126  0.05962998]
0,OCTR,[-0.736106    0.12984008]
0,OGEE,[-0.65182383 -0.14857774]
0,OHCR,[-6.96180781e-01  1.75153569e-04]
0,OHIC,[-0.68258472 -0.09542434]
0,OMDX,[-0.63247434 -0.17172243]
0,OMID,[-0.67545849  0.37293021]
0,ONCT,[-0.70357095  0.26508367]
0,ONWX,[-0.65285498 -0.17599074]
0,ORC,[-0.65520612 -0.13182943]
0,OSRR,[-0.69126587  0.00572601]
0,OURY,[-0.72609412  0.24168   ]
0,PAL,[-0.65071733 -0.12730593]
0,PATH,[-0.75422497  0.19087414]
0,PBNE,[-0.74332632  0.14912315]
0,PBR,[-0.72414636  0.07672697]
0,PC,[-0.65448765  0.11014551]
0,PCY,[-0.74419248  0.15785384]
0,PDRR,[-0.61784309 -0.14680709]
0,PEX,[-0.6076658  -0.14723114]
0,PHD,[-0.70284335  0.03860734]
0,PI,[-0.60293757 -0.16207564]
0,PICK,[-0.64211818 -0.17896945]
0,PIR,[-0.74342022  0.08980468]
0,PLE,[-0.72585373  0.10268898]
0,PNER,[-0.73406555  0.13191705]
0,PNRW,[-0.55973009 -0.16673439]
0,POHC,[-0.71413962 -0.01960762]
0,POV,[-0.74005974  0.12513378]
0,PRL,[-0.72300935  0.00121459]
0,PRSL,[-0.78906434  0.27483155]
0,PRYL,[-0.64541775 -0.1366871 ]
0,PS,[-0.73574322  0.11461562]
0,PTR,[-0.63462519 -0.13540715]
0,PWJ,[-0.75877349  0.18661024]
0,RBMN,[-0.72877591  0.04125002]
0,RCRY,[-0.77370895  0.10409288]
0,RDG,[-0.76372064  0.20252194]
0,RFP,[-0.66200685 -0.09472156]
0,RJCC,[-0.66014619 -0.1228716 ]
0,RJCK,[-0.55237832 -0.19229877]
0,RJCL,[-0.68858142 -0.04806824]
0,RJCM,[-0.64399458 -0.13462577]
0,RJCP,[-7.13972567e-01 -6.00178102e-04]
0,RJCR,[-0.67901617 -0.06982633]
0,RJCS,[-0.61120257 -0.14494184]
0,RJCW,[-0.68654795 -0.05687175]
0,RR,[-0.72796143  0.1515698 ]
0,RSOR,[-0.64935074 -0.1298688 ]
0,RSR,[-0.67806227  0.36726791]
0,RT,[-0.71285633  0.0606458 ]
0,RV,[-0.79863303  0.2958352 ]
0,SAN,[-0.6464319  -0.18427303]
0,SAPT,[-0.6568254  -0.13306432]
0,SB,[-0.65837777  0.39413162]
0,SBD,[-0.48891506 -0.24758755]
0,SBVR,[-0.67843108 -0.04833239]
0,SCFE,[-0.6411923  -0.18076747]
0,SCL,[-0.59623669 -0.23782488]
0,SCRF,[-0.62667718 -0.15000961]
0,SCTR,[-0.52266274 -0.22030661]
0,SCXF,[-0.63570472 -0.17633701]
0,SEPA,[-0.73596924  0.07718216]
0,SFLR,[-0.75786068  0.19435291]
0,SFRV,[-0.63350551 -0.18026452]
0,SGLR,[-0.62771607 -0.1817171 ]
0,SIND,[-0.66582141 -0.01104131]
0,SIRC,[-0.70328306  0.26366767]
0,SIRT,[-0.79863303  0.2958352 ]
0,SJRT,[-0.61661945 -0.19010848]
0,SLAW,[-0.68124485  0.35331269]
0,SLRR,[-0.68268815  0.38249697]
0,SLRS,[-0.71992511  0.02421852]
0,SM,[-0.64716403 -0.18853976]
0,SMRS,[-0.65505623 -0.05737787]
0,SMW,[-0.65871625 -0.1320662 ]
0,SNJX,[-0.76695892  0.1020959 ]
0,SOU,[-0.52816421 -0.23005501]
0,SPEG,[-0.71866189  0.08514528]
0,SRC,[-0.71209077 -0.01065837]
0,SRNJ,[-0.76379296  0.16349368]
0,SSAM,[-0.56260783 -0.10485259]
0,SSDK,[-0.64650059 -0.20406618]
0,STRT,[-0.73237612  0.12003272]
0,SUAB,[-0.54111282 -0.20964903]
0,SVRR,[-0.68760244 -0.06814814]
0,SWGX,[-0.65451027 -0.13121977]
0,SWP,[-0.71760147 -0.00600858]
0,TAG,[-0.5710074  -0.25337685]
0,TASD,[-0.56674247 -0.19705254]
0,TAW,[-0.72035315  0.08766184]
0,TBER,[-0.66579792 -0.01188152]
0,TCCX,[-0.62458112 -0.18579843]
0,TCKR,[-0.73412609  0.11206015]
0,TCRM,[-0.51383128 -0.21049095]
0,TEVR,[-0.63694749 -0.17907243]
0,TIOC,[-0.62772941  0.51335581]
0,TIPP,[-0.67179129 -0.00423281]
0,TKEN,[-0.52923645 -0.21800471]
0,TLEW,[-0.6918657 -0.0676824]
0,TNHR,[-0.58922782 -0.17088742]
0,TNR,[-0.55195285 -0.19318348]
0,TPW,[-0.3788018  -0.18206042]
0,TRRX,[-0.74563838  0.13017691]
0,TSBY,[-0.67285269 -0.01871098]
0,TSRR,[-0.54361646 -0.20652379]
0,TT,[-0.7200845   0.09015316]
0,TTIS,[-0.6543681  -0.12735762]
0,TTR,[-0.62306307 -0.18222375]
0,TVRM,[-0.54780203 -0.20001139]
0,TWRY,[-0.63422999 -0.14028882]
0,UB,[-0.68349384  0.01187542]
0,UCIR,[-0.71018538 -0.02443554]
0,UMP,[-0.74278482  0.15434323]
0,URR,[-0.74172469  0.13682163]
0,USRO,[-0.67805969 -0.09519308]
0,USRV,[-0.66791222 -0.10430623]
0,UTSZ,[-0.63051826 -0.1860436 ]
0,VAMD,[-0.66245922 -0.10321676]
0,VR,[-0.66213903 -0.13871116]
0,VREX,[-0.62151118 -0.141986  ]
0,VSO,[-0.62091558 -0.21517158]
0,VSRR,[-0.65006387 -0.09240917]
0,WA,[-0.5232191  -0.27814951]
0,WAG,[-0.74556244  0.16597985]
0,WAKS,[-0.73411603  0.02773252]
0,WBCR,[-0.63277561 -0.12372608]
0,WCLR,[-0.63342777 -0.16748863]
0,WCOR,[-0.69413505  0.01500947]
0,WE,[-0.69641206 -0.03377671]
0,WGCR,[-0.57121621 -0.20493936]
0,WJSL,[-0.76192272  0.1027283 ]
0,WM,[-0.73605866  0.13286266]
0,WMI,[-0.64757485 -0.08114029]
0,WNFR,[-0.70653302  0.01716928]
0,WNYP,[-0.71609607  0.09127485]
0,WS,[-0.65107419 -0.22480086]
0,WSRY,[-0.389074   -0.18979398]
0,WSS,[-0.63071137 -0.16782782]
0,WTNN,[-0.513627   -0.22187151]
0,WTRY,[-0.61223351 -0.15254035]
0,WTSE,[-0.73630642  0.11353698]
0,WVC,[-0.64847394 -0.12889357]
0,WVN,[-0.69900418  0.01053606]
0,WVRR,[-0.64394237 -0.08313857]
0,WW,[-0.69991216 -0.01091794]
0,WWRC,[-0.69843765  0.08591429]
0,WYS,[-0.70531527  0.03994549]
0,WYT,[-0.70810974  0.04290033]
0,XSTM,[-0.67017305 -0.11380528]
0,YARR,[-0.68048116 -0.09497942]
0,YB,[-0.69929649 -0.03636404]
0,YKR,[-0.74519666  0.12909095]
0,YRC,[-0.71804224 -0.00501314]
0,YS,[-0.71670213  0.0762188 ]
0,YSRR,[-0.69331447 -0.07401635]
0,YVRR,[-0.62821678 -0.15235449]
1,AGS,[-0.1348466  -0.36635834]
1,ALR,[-0.13222699 -0.26044598]
1,ALS,[-0.13883661 -0.25412976]
1,APNC,[ 0.34027594 -0.23648152]
1,ATK,[ 0.06117016 -0.21812794]
1,BFJR,[-0.13399074 -0.25935223]
1,BHC,[ 0.31835201 -0.24128434]
1,BJRY,[ 0.15878828 -0.26811626]
1,BLOL,[ 0.06294574 -0.24966376]
1,BN,[ 0.48458281 -0.2346357 ]
1,BNSO,[ 0.06867907 -0.25127183]
1,BRC,[-0.10919253 -0.25543809]
1,BSV,[ 0.47251301 -0.20276391]
1,BSVY,[0.50623639 0.18086219]
1,CAGY,[-0.03412835 -0.34447995]
1,CBGR,[ 0.4127019  -0.22125883]
1,CC,[ 0.1846265  -0.22983176]
1,CDOT,[ 0.0500209  -0.21696604]
1,CEI,[-0.19691172 -0.23823355]
1,CHTT,[-0.18327173 -0.24736077]
1,CIC,[ 0.25464246 -0.25259796]
1,CIM,[-0.15698774 -0.25218607]
1,CJR,[ 0.0732127  -0.24477504]
1,CMNW,[ 0.06802886 -0.27268902]
1,CNO,[ 0.21142753 -0.27806811]
1,CNW,[-0.07442414 -0.25541432]
1,COER,[-0.11547734 -0.25621362]
1,CRI,[-0.235485 -0.231107]
1,CRL,[ 0.0217025  -0.25655904]
1,CTM,[-0.10250279 -0.20351337]
1,CTML,[-0.08772622 -0.25812187]
1,CVAR,[ 0.13437724 -0.26818619]
1,CWI,[-0.23702887 -0.23051342]
1,CWP,[-0.22651654 -0.23390015]
1,CWRC,[-0.16393583 -0.25470346]
1,DAIR,[ 0.35978969 -0.15519979]
1,DAKR,[ 0.32681981 -0.22568215]
1,DME,[ 0.42965513 -0.1423129 ]
1,DMIR,[ 0.23424293 -0.24121821]
1,DMU,[ 0.09291935 -0.28138567]
1,DNE,[ 0.18324968 -0.28016451]
1,DREI,[ 0.0732127  -0.24477504]
1,DRI,[-0.09582126 -0.26188511]
1,DSRC,[ 0.38485779 -0.22467566]
1,DWP,[ 0.31671728 -0.22488814]
1,EIRC,[ 0.06790503 -0.27475436]
1,FRVR,[-0.13142881 -0.23667393]
1,FVW,[-0.11946126 -0.23040032]
1,GBW,[-0.12588532 -0.25461775]
1,GLSR,[ 0.27135739 -0.30661323]
1,GRYR,[-0.18636247 -0.3002213 ]
1,GSMR,[-0.28830788 -0.32837736]
1,GTRA,[-0.06642297 -0.3410067 ]
1,GWWE,[ 0.22943692 -0.26433773]
1,GWWR,[ 0.33184168 -0.25379373]
1,IAIS,[ 0.18295434 -0.23043844]
1,IANR,[ 0.43457708 -0.15503337]
1,IAT,[ 0.1674041  -0.28429431]
1,IATR,[ 0.24362743 -0.1063346 ]
1,IC,[ 0.06522486 -0.30744935]
1,ICE,[ 0.49682718 -0.14781768]
1,ICG,[-0.0812347  -0.29758486]
1,IMRL,[ 0.48848085 -0.18979943]
1,IMRR,[ 0.11591149 -0.2633969 ]
1,IR,[ 0.12137942 -0.2541336 ]
1,IRRC,[-0.05974873 -0.27666545]
1,ISR,[ 0.11305834 -0.26574629]
1,ITC,[-0.20906006 -0.24019091]
1,KBSR,[-0.16913534 -0.25674129]
1,KJRY,[ 0.03740949 -0.24778971]
1,LSBC,[-0.15385256 -0.26440993]
1,LSTT,[-0.13718885 -0.25936077]
1,LXVR,[-0.28950493 -0.28713018]
